_id,domain_global_string,review_rating,notes,review_text,review_title,use_sentiment_label,use_theme_exists,fit_sentiment_label,fit_theme_exists,value_sentiment_label,value_theme_exists,style_sentiment_label,style_theme_exists,quality_sentiment_label,quality_theme_exists
academy58403947,APPAREL,5,,"The shorts were excellent in color and style. My husband always elects if possible to purchase Adidas apparel. However, the shorts I ordered were medium, those received were medium, they seemed to be cut smaller. Rather than return them, I gave them to a friend. My husband went to the local Academy to purchase another pair.",,,0,neg,1,,0,pos,1,,0
adidas100338674,APPAREL,4,X,Fab running shorts. Only thing I'd change is the key pocket. Wish it tucked in and closed.,Retro vibe running!,,0,,0,,0,pos,1,neg,1
adidas102938471,APPAREL,5,,"Just looks amazing and classy. Plus, it is super comfortable and just perfect for summer.",Easy and stress free online experience. This for me in the best French Open shirt available. Looks super nice and it’s at a great price.,pos,1,pos,1,pos,1,pos,1, ,0
amazonR17DE72WNC7FQM,APPAREL,1,,"I should have taken a little more time when looking for new leggings, but I hadn't bought any in years and forgot a few cardinal rules. The last ones I bought were puma and they have been amazing: super durable, terrific quality, good fabric. I trusted that all of there leggings were of similar quality and I was wrong. These leggings are of a thin fabric and feel cheap: I'll be very surprised if they last me longer than a few months. I washed them right out of the box so that I could use them right away (I know, I should have known better...), so I didn't really notice the cheapness immediately.",Disappointing,,0,,0,,0,,0,neg,1
amazonR19HL1JO6GEKJK,APPAREL,4,,WAS SOME WHAT LARGE FOR 8 AND 9 YEAR OLD AND WAS|AN X SMALL WILL HAVE TO BE ALTERED BUT GREAT PRICE|WELL MADE,ASICS WOMWNS CIRCUIT 7 SINGLET X SMAL,,0,neg,1,pos,1,,0,pos,1
amazonR1AP15DL9DM693,APPAREL,5,,"These fit great, they are very comfortable, and warm. I want to get some of the storm pants next, but I am very pleased with these. I even bought another pair in another color.|Update......almost a year and a half later, these pants are still as good as new. I can not believe how well they held up. these are sweatpants. I guess they cost a lot because they are made better. I wear sweats over my workout clothes 3 times per week. So I have time to work out during lunch break. I get an hour, and I don't want to spend that changing clothes. I can throw these on over gym shorts and go to work, then go work out at lunch. My office has a pretty casual dress code as most of our work is on the phone and email. But these are much nicer looking than ordinary sweats.",Best fleece pants ever,pos,1,pos,1,pos,1,,0,pos,1
amazonR1G0V9QH28G3ZR,APPAREL,2,,"This shirt felt like ""seconds"" quality. Mismatched seams, and VERY billowy over the bust. If you're looking to accentuate your chest this will do the trick. I personally try to minimize that area so that I look slimmer. This shirt is not the answer to that at all. Also the body of the shirt is huge compared to the shoulders and sleeves.","Photo is a bit decieving, seconds quality",,0,neg,1,,0,neg,1,neg,1
amazonR1MWL4M4CIPBZB,APPAREL,5,,Great product. Fits perfect. Keep heat away from your body. Doesn't fade or shrink after washing. Will definitely buy again.,A+,,0,pos,1,pos,1,,0,pos,1
amazonR1WWQIGZKPP3H5,APPAREL,5,X,AMAzing support I have been running for years and always have to double up on sports bras to prevent the bounce. This bra is tight and comfortable. True to normal bra size.,No Bounce< Prefect sports bra for running,pos,1,pos,1,,0,,0,,0
amazonR2193684Q6VGLR,APPAREL,5,,Nice inexpensive jeans.,Five Stars,,0,,0,pos,1,,0,,0
amazonR22ZNPV0FQJ03H,APPAREL,4,,"It look very nice and for the price it’s a very good buy. You’ll not find anything like this in a TH store for this amount of money, I checked. I wouldn’t mind if it was a bit less baggy but that’s because I’m quite slim.",Pretty good for the price tag,,0,neg,1,pos,1,,0,,0
amazonR2CRB5MG7ZYESP,APPAREL,2,,"Should you feel bad for working out or playing sports?  The activities previously stated may increase the width of your thighs.  Apparently the jean market is not as open toward us as it once was.  Nevertheless, Levis will continue to manufacture ""skinny"" jeans and then variations of ""skinny"" jeans until more people call their customer service to tell them otherwise.  I actually had to go up a size to have the fit that felt closer to the previous 569 style of ""loose"" fitting jeans that were made many moons ago.  I suspect that there is no need to have my calf region with a tailored fit when I can't even lift my legs past a 40 degree angle as these jeans provide.  I don't want to wear sweat pants to do my daily routine or spend so much money on a pair of jeans that I never have to wonder where the rest of my tuition money is going.  Please Levis, think of the athletes.",Still not enough room in the thigh region,,0,neg,1,,0,,0,,0
amazonR2F4SCGHZZ2X4K,APPAREL,5,,"Fit as expected (went with Large as a 6'4"" 240 lb ).  Doesn't shred after normal usage, very comfortable, and doesn't shrink in the wash.  Will buy again!","very comfortable, and doesn't shrink in the wash",,0,pos,1,pos,1,,0,pos,1
amazonR2LPS76EFFFW3E,APPAREL,5,,Nice and light and comfortable to wear in the Summer.,"Great, colorful workout capris",pos,1,pos,1,,0,pos,1,pos,1
amazonR2ONAUFG04MVWT,APPAREL,1,X,"Looks authentic but are definitely different from the Tiro 17's sold in Adidas stores. Maybe Adidas sells a cheaper version online? Comparing to a pair I bought in store, the stitching is different and the material is a lot more thin/cheap-feeling. This causes the fit to be larger and more loose, especially in the thigh area. In store, they are more thick and gives a more tapered fit. I would not recommend buying. If you've never owned a pair maybe it won't make a difference to you, as they look pretty similar. It's just the fit and material that are completely different.",Not the same as Tiro 17's sold in stores,,0,neg,1,,0,,0,neg,1
